"filename", "language", "HTML", "JavaScript", "JSON", "PostCSS", "JavaScript JSX", "XML", "Markdown", "comment", "blank", "total"
"d:\Recipe Website\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 7, 0, 6, 13
"d:\Recipe Website\frontend\eslint.config.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 2, 30
"d:\Recipe Website\frontend\index.html", "HTML", 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\Recipe Website\frontend\package-lock.json", "JSON", 0, 0, 6950, 0, 0, 0, 0, 0, 1, 6951
"d:\Recipe Website\frontend\package.json", "JSON", 0, 0, 69, 0, 0, 0, 0, 0, 1, 70
"d:\Recipe Website\frontend\postcss.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\Recipe Website\frontend\src\App.css", "PostCSS", 0, 0, 0, 37, 0, 0, 0, 0, 6, 43
"d:\Recipe Website\frontend\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 19, 20, 143
"d:\Recipe Website\frontend\src\api\cart.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 4, 26
"d:\Recipe Website\frontend\src\api\index.js", "JavaScript", 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Recipe Website\frontend\src\assets\images\no-results.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Recipe Website\frontend\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Recipe Website\frontend\src\components\common\AnimatedPotIcon.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 5, 4, 55
"d:\Recipe Website\frontend\src\components\common\BackToTopButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 7, 7, 51
"d:\Recipe Website\frontend\src\components\common\Button.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 5, 27
"d:\Recipe Website\frontend\src\components\common\Input.jsx", "JavaScript JSX", 0, 0, 0, 0, 18, 0, 0, 0, 2, 20
"d:\Recipe Website\frontend\src\components\common\LivePrice.jsx", "JavaScript JSX", 0, 0, 0, 0, 50, 0, 0, 9, 16, 75
"d:\Recipe Website\frontend\src\components\common\Loader.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"d:\Recipe Website\frontend\src\components\common\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 16, 10, 89
"d:\Recipe Website\frontend\src\components\common\NotificationBanner.jsx", "JavaScript JSX", 0, 0, 0, 0, 45, 0, 0, 5, 5, 55
"d:\Recipe Website\frontend\src\components\common\Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 1, 8, 72
"d:\Recipe Website\frontend\src\components\common\ScrollToTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 19, 0, 0, 8, 4, 31
"d:\Recipe Website\frontend\src\components\common\ShareButton.jsx", "JavaScript JSX", 0, 0, 0, 0, 65, 0, 0, 26, 12, 103
"d:\Recipe Website\frontend\src\components\common\TipTapMenuBar.jsx", "JavaScript JSX", 0, 0, 0, 0, 96, 0, 0, 18, 20, 134
"d:\Recipe Website\frontend\src\components\layout\AdminLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 34, 0, 0, 4, 6, 44
"d:\Recipe Website\frontend\src\components\layout\AdminSidebar.jsx", "JavaScript JSX", 0, 0, 0, 0, 47, 0, 0, 0, 2, 49
"d:\Recipe Website\frontend\src\components\layout\CookieConsent.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 20, 12, 115
"d:\Recipe Website\frontend\src\components\layout\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 104, 0, 0, 3, 8, 115
"d:\Recipe Website\frontend\src\components\layout\Header.jsx", "JavaScript JSX", 0, 0, 0, 0, 171, 0, 0, 20, 27, 218
"d:\Recipe Website\frontend\src\components\layout\NewsletterModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 15, 15, 140
"d:\Recipe Website\frontend\src\components\layout\Preloader.jsx", "JavaScript JSX", 0, 0, 0, 0, 73, 0, 0, 10, 8, 91
"d:\Recipe Website\frontend\src\components\layout\PublicLayout.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 2, 2, 20
"d:\Recipe Website\frontend\src\components\recipe\CommentSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 183, 0, 0, 16, 19, 218
"d:\Recipe Website\frontend\src\components\recipe\FaqAccordion.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 3, 31
"d:\Recipe Website\frontend\src\components\recipe\RecipeCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 3, 26
"d:\Recipe Website\frontend\src\components\recipe\RelatedRecipes.jsx", "JavaScript JSX", 0, 0, 0, 0, 80, 0, 0, 11, 15, 106
"d:\Recipe Website\frontend\src\components\ui\AnimatedTitle.jsx", "JavaScript JSX", 0, 0, 0, 0, 40, 0, 0, 5, 7, 52
"d:\Recipe Website\frontend\src\components\ui\CategoryCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 3, 4, 22
"d:\Recipe Website\frontend\src\components\ui\HeroSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 95, 0, 0, 17, 19, 131
"d:\Recipe Website\frontend\src\components\ui\WelcomePreloader.jsx", "JavaScript JSX", 0, 0, 0, 0, 49, 0, 0, 6, 5, 60
"d:\Recipe Website\frontend\src\context\AuthContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 8, 13, 92
"d:\Recipe Website\frontend\src\context\CartContext.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 5, 17
"d:\Recipe Website\frontend\src\hooks\useAuth.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Recipe Website\frontend\src\hooks\useCart.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Recipe Website\frontend\src\hooks\useClickOutside.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 6, 3, 26
"d:\Recipe Website\frontend\src\hooks\useDebounce.js", "JavaScript", 0, 13, 0, 0, 0, 0, 0, 7, 4, 24
"d:\Recipe Website\frontend\src\hooks\useMousePosition.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 0, 5, 19
"d:\Recipe Website\frontend\src\hooks\usePaddle.js", "JavaScript", 0, 70, 0, 0, 0, 0, 0, 119, 43, 232
"d:\Recipe Website\frontend\src\hooks\useScreenSize.js", "JavaScript", 0, 14, 0, 0, 0, 0, 0, 8, 7, 29
"d:\Recipe Website\frontend\src\index.css", "PostCSS", 0, 0, 0, 98, 0, 0, 0, 8, 18, 124
"d:\Recipe Website\frontend\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 3, 24
"d:\Recipe Website\frontend\src\pages\admin\AdminDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 304, 0, 0, 9, 16, 329
"d:\Recipe Website\frontend\src\pages\admin\ManageCategories.jsx", "JavaScript JSX", 0, 0, 0, 0, 129, 0, 0, 11, 11, 151
"d:\Recipe Website\frontend\src\pages\admin\ManageCommentsPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 86, 0, 0, 1, 6, 93
"d:\Recipe Website\frontend\src\pages\admin\ManageFaqs.jsx", "JavaScript JSX", 0, 0, 0, 0, 125, 0, 0, 7, 10, 142
"d:\Recipe Website\frontend\src\pages\admin\ManageOrdersPage.jsx", "JavaScript JSX", 0, 0, 0, 0, 244, 0, 0, 0, 22, 266
